Agar-Agar,tbsp ,1,7,26
Agave Syrup,cup,684,348,310
All-Purpose Flour,cup ,437,102,364
Almond Extract,tbsp ,21,72,258
Almonds,cup,487,148,529
Baking Powder,tsp,2,15,53
Baking Soda,tsp ,0,0,0
Bread Flour,cup,495,101,361
Brittle,ounce,166,166,592
Brown Sugar,cup ,869,111,395
Buttermilk,cup,152,17,62
Butterscotch Chips,cup,916,151,539
Cake Flour,cup ,496,101,362
Candied Orange Peel,tbsp ,6,27,97
Cane Sugar,tbsp ,19,108,387
Chocolate Chips,tbsp ,70,131,467
Chocolate Sprinkles,tbsp ,25,140,500
Cocoa Powder,tbsp ,11,64,228
Coconut Flakes,cup ,388,128,456
Coconut Milk,cup ,120,14,50
Corn Flour,cup ,422,101,361
Corn Syrup,tbsp ,53,79,281
Cornmeal,cup ,500,101,362
Cornstarch,cup ,488,107,381
Couverture,ounce,168,168,600
Cream Cheese,serving,11,15,54
Cream of Tartar,tbsp ,39,72,258
Crystallized Ginger,tbsp,17,94,335
Custard Powder,tbsp,57,94,337
Dark Rum,1 fl. oz.,60,60,216
Dextrose,tsp,11,105,375
Dried Apricots,cup,313,67,241
Dried Cranberries,cup,369,258,308
Dried Figs,fig ,20,70,249
Dried Prunes,cup ,265,30,107
Duck Egg,duck egg,130,52,185
Eggs,eggs,58,27,97
Egg Nog,cup,224,25,88
Egg White,egg-white,3,4,13
Egg Yolk,egg-yolk,52,90,322
Evaporated Milk,cup,338,38,134
Flour,cup,437,102,364
Fructose,tsp ,15,103,368
Gelatin,tbsp ,23,94,335
Glucose,tbsp ,57,80,286
Glucose Syrup,ounce,108,108,387
Granulated Sugar,packet,8,108,387
Ground Cinnamon,tsp ,5,69,247
Hazelnuts,cup,471,176,628
Heavy Cream,cup ,414,97,345
Jaggery,tbsp,46,107,383
Malt Powder,cup ,585,101,143
Malted Milk,tbsp,28,113,405
Maltitol,tsp ,8,59,210
Maltodextrin,tsp ,11,105,375
Maltose,tbsp ,45,96,344
Maple Syrup,60 d,216,76,375
Molasses,cup ,977,81,344
Nonpareils,tbsp ,24,133,475
Peppermint Extract,tsp ,0,0,0
Poppy Seeds,tbsp ,42,147,525
Powdered Milk,cup ,337,139,496
Powdered Sugar,cup ,467,109,389
Protein Powder,tbsp ,45,115,411
Raisins,cup ,782,133,474
Rice Milk,cup ,120,14,49
Rock Sugar,tsp ,25,175,525
Rolled Oats,cup ,599,108,625
Rum,serving ,98,69,384
Semolina Flour,cup ,420,98,246
Sesame Seeds,cup ,825,160,573
Shredded Coconut,cup ,466,98,501
Sorbitol,tsp,15,140,375
Soy Milk,cup,100,105,41
Soy Protein Powder,ounce ,95,95,338
Sprinkles,tsp ,10,140,500
Starch,cup ,488,107,381
Strawberry Preserves,tbsp ,56,78,278
Sucrose,tsp ,15,108,387
Sugar,tsp ,1,6,21
Sunflower Seeds,serving,23,33,117
Sweetened Condensed Milk,cup,982,90,321
Sweetener,packet ,4,101,360
Unsalted Butter,cup,1628,201,717
Vanilla Extract,tbsp,37,81,288
Vanilla Sugar,tsp ,7,100,357
Vegetable Oil,tbsp,115,248,884
Walnuts,walnut,26,37,131
Whole Milk,cup ,149,17,61
Whole Wheat Flour,cup ,408,95,340
Xylitol,tsp ,10,67,240
Yeast (dry),tsp ,13,91,325
Water,cup,0,0,0
